loss_fn	wavetable	mod_type	reference	ref_amount	mod_sig	amount	phase	ref_phase	is_reference	ref_shift	distance
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.70__phase_2_23	0.7	2	0	False	0	0.6126030087471008
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.70__phase_3_23	0.7	3	0	False	0	0.6229987740516663
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.70__phase_4_23	0.7	4	0	False	0	0.6283546090126038
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.70__phase_5_23	0.7	5	0	False	0	0.6456264853477478
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.70__phase_6_23	0.7	6	0	False	0	0.657566487789154
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.70__phase_7_23	0.7	7	0	False	0	0.6532764434814453
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.70__phase_8_23	0.7	8	0	False	0	0.6630018353462219
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.70__phase_9_23	0.7	9	0	False	0	0.6709950566291809
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.70__phase_10_23	0.7	10	0	False	0	0.6648172736167908
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.70__phase_11_23	0.7	11	0	False	0	0.6735055446624756
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.70__phase_12_23	0.7	12	0	False	0	0.6742650866508484
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.70__phase_13_23	0.7	13	0	False	0	0.673978328704834
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.70__phase_14_23	0.7	14	0	False	0	0.6738103032112122
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.70__phase_15_23	0.7	15	0	False	0	0.6661753058433533
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.70__phase_16_23	0.7	16	0	False	0	0.6545926332473755
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.70__phase_17_23	0.7	17	0	False	0	0.6470503807067871
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.70__phase_18_23	0.7	18	0	False	0	0.6370628476142883
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.70__phase_19_23	0.7	19	0	False	0	0.6272653937339783
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.70__phase_20_23	0.7	20	0	False	0	0.6271278858184814
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.70__phase_21_23	0.7	21	0	False	0	0.6222723126411438
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.70__phase_22_23	0.7	22	0	False	0	0.6105950474739075
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.90__phase_0_23	0.9	0	0	False	0	0.6956612467765808
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.90__phase_1_23	0.9	1	0	False	0	0.7025430798530579
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.90__phase_2_23	0.9	2	0	False	0	0.7118051052093506
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.90__phase_3_23	0.9	3	0	False	0	0.722334623336792
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.90__phase_4_23	0.9	4	0	False	0	0.7212467193603516
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.90__phase_5_23	0.9	5	0	False	0	0.7232606410980225
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.90__phase_6_23	0.9	6	0	False	0	0.7252774238586426
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.90__phase_7_23	0.9	7	0	False	0	0.7332692742347717
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.90__phase_8_23	0.9	8	0	False	0	0.7370321750640869
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.90__phase_9_23	0.9	9	0	False	0	0.7381455898284912
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.90__phase_10_23	0.9	10	0	False	0	0.7503811717033386
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.90__phase_11_23	0.9	11	0	False	0	0.7598042488098145
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.90__phase_12_23	0.9	12	0	False	0	0.7554750442504883
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.90__phase_13_23	0.9	13	0	False	0	0.7524639964103699
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.90__phase_14_23	0.9	14	0	False	0	0.7519755363464355
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.90__phase_15_23	0.9	15	0	False	0	0.7491161823272705
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.90__phase_16_23	0.9	16	0	False	0	0.7414920926094055
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.90__phase_17_23	0.9	17	0	False	0	0.7317163348197937
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.90__phase_18_23	0.9	18	0	False	0	0.7279806137084961
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.90__phase_19_23	0.9	19	0	False	0	0.7206758856773376
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.90__phase_20_23	0.9	20	0	False	0	0.7121577858924866
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.90__phase_21_23	0.9	21	0	False	0	0.7081735730171204
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	amp	amp_1.00hz_0.10	0.1	amp_1.00hz_0.90__phase_22_23	0.9	22	0	False	0	0.703196108341217
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	freq	freq_0.25hz	0.25	freq_0.25hz__phase_0_23	0.25	0	0	True	0	0.0
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	freq	freq_0.25hz	0.25	freq_0.25hz__phase_1_23	0.25	1	0	False	0	0.4928537607192993
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	freq	freq_0.25hz	0.25	freq_0.25hz__phase_2_23	0.25	2	0	False	0	0.6016329526901245
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	freq	freq_0.25hz	0.25	freq_0.25hz__phase_3_23	0.25	3	0	False	0	0.6847665905952454
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	freq	freq_0.25hz	0.25	freq_0.25hz__phase_4_23	0.25	4	0	False	0	0.7368746399879456
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	freq	freq_0.25hz	0.25	freq_0.25hz__phase_5_23	0.25	5	0	False	0	0.7829769253730774
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	freq	freq_0.25hz	0.25	freq_0.25hz__phase_6_23	0.25	6	0	False	0	0.8151375651359558
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	freq	freq_0.25hz	0.25	freq_0.25hz__phase_7_23	0.25	7	0	False	0	0.8394344449043274
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	freq	freq_0.25hz	0.25	freq_0.25hz__phase_8_23	0.25	8	0	False	0	0.8593530058860779
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	freq	freq_0.25hz	0.25	freq_0.25hz__phase_9_23	0.25	9	0	False	0	0.8709852695465088
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	freq	freq_0.25hz	0.25	freq_0.25hz__phase_10_23	0.25	10	0	False	0	0.8802175521850586
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	freq	freq_0.25hz	0.25	freq_0.25hz__phase_11_23	0.25	11	0	False	0	0.8876103758811951
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	freq	freq_0.25hz	0.25	freq_0.25hz__phase_12_23	0.25	12	0	False	0	0.8875678181648254
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	freq	freq_0.25hz	0.25	freq_0.25hz__phase_13_23	0.25	13	0	False	0	0.8813655972480774
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	freq	freq_0.25hz	0.25	freq_0.25hz__phase_14_23	0.25	14	0	False	0	0.8702810406684875
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	freq	freq_0.25hz	0.25	freq_0.25hz__phase_15_23	0.25	15	0	False	0	0.8586900234222412
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	freq	freq_0.25hz	0.25	freq_0.25hz__phase_16_23	0.25	16	0	False	0	0.839575469493866
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	freq	freq_0.25hz	0.25	freq_0.25hz__phase_17_23	0.25	17	0	False	0	0.8166694045066833
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	freq	freq_0.25hz	0.25	freq_0.25hz__phase_18_23	0.25	18	0	False	0	0.7832600474357605
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	freq	freq_0.25hz	0.25	freq_0.25hz__phase_19_23	0.25	19	0	False	0	0.7371001839637756
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	freq	freq_0.25hz	0.25	freq_0.25hz__phase_20_23	0.25	20	0	False	0	0.684685230255127
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	freq	freq_0.25hz	0.25	freq_0.25hz__phase_21_23	0.25	21	0	False	0	0.6023266911506653
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	freq	freq_0.25hz	0.25	freq_0.25hz__phase_22_23	0.25	22	0	False	0	0.49316611886024475
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	freq	freq_0.25hz	0.25	freq_0.50hz__phase_0_23	0.5	0	0	False	0	0.7826428413391113
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	freq	freq_0.25hz	0.25	freq_0.50hz__phase_1_23	0.5	1	0	False	0	0.7798447608947754
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	freq	freq_0.25hz	0.25	freq_0.50hz__phase_2_23	0.5	2	0	False	0	0.7747449278831482
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	freq	freq_0.25hz	0.25	freq_0.50hz__phase_3_23	0.5	3	0	False	0	0.7752620577812195
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	freq	freq_0.25hz	0.25	freq_0.50hz__phase_4_23	0.5	4	0	False	0	0.7696151733398438
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	freq	freq_0.25hz	0.25	freq_0.50hz__phase_5_23	0.5	5	0	False	0	0.7610295414924622
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	freq	freq_0.25hz	0.25	freq_0.50hz__phase_6_23	0.5	6	0	False	0	0.751957893371582
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	freq	freq_0.25hz	0.25	freq_0.50hz__phase_7_23	0.5	7	0	False	0	0.7523918151855469
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	freq	freq_0.25hz	0.25	freq_0.50hz__phase_8_23	0.5	8	0	False	0	0.7491913437843323
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	freq	freq_0.25hz	0.25	freq_0.50hz__phase_9_23	0.5	9	0	False	0	0.7542924284934998
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	freq	freq_0.25hz	0.25	freq_0.50hz__phase_10_23	0.5	10	0	False	0	0.747175931930542
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	freq	freq_0.25hz	0.25	freq_0.50hz__phase_11_23	0.5	11	0	False	0	0.7544169425964355
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	freq	freq_0.25hz	0.25	freq_0.50hz__phase_12_23	0.5	12	0	False	0	0.7544684410095215
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	freq	freq_0.25hz	0.25	freq_0.50hz__phase_13_23	0.5	13	0	False	0	0.7514734268188477
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	freq	freq_0.25hz	0.25	freq_0.50hz__phase_14_23	0.5	14	0	False	0	0.7475454211235046
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	freq	freq_0.25hz	0.25	freq_0.50hz__phase_15_23	0.5	15	0	False	0	0.7519088387489319
mss_log_lin	brightness_real__harmonics__synced_sines__256_1024	freq	freq_0.25hz	0.25	freq_0.50hz__phase_16_23	0.5	16	0	False	0	0.749934196472168
