loss_fn	Source	SS	DF	MS	F	p_unc	p_bonf	p_fdr	np2	eta_sq	pct_var
scat1d_log1p	source	1.0787237449502276	1	1.0787237449502276	263.92334249504364	3.259896461977613e-19	3.259896461977613e-18	1.0866321539925378e-18	0.868387864941133	0.09533636487836286	9.533636487836286
scat1d_log1p	rating_stimulus	2.9108208028838902	3	0.9702736009612968	237.38964966625727	1.6390233619676149e-25	1.6390233619676149e-24	8.195116809838074e-25	0.9468204582850105	0.25725499735993285	25.725499735993285
scat1d_log1p	modulation:feature	0.2849833746259054	4	0.07124584365647635	17.431192448224202	2.3556620624839184e-08	2.3556620624839184e-07	3.9261034374731976e-08	0.6354515021949998	0.02518650313835085	2.518650313835085
scat1d_log1p	modulation:source	0.10553914784195362	2	0.05276957392097681	12.910740489824004	4.718965835765294e-05	0.0004718965835765294	5.898707294706617e-05	0.39229565478224354	0.009327428597649179	0.9327428597649179
scat1d_log1p	modulation:rating_stimulus	0.20586548823599812	6	0.03431091470599969	8.394597166939718	6.4506135984230685e-06	6.450613598423068e-05	9.215162283461526e-06	0.5573633965702632	0.018194155263760326	1.8194155263760325
scat1d_log1p	feature:source	0.28747489426097167	2	0.14373744713048583	35.16717571664541	1.5381011498542574e-09	1.5381011498542573e-08	3.076202299708515e-09	0.6374655809330209	0.02540670078037202	2.540670078037202
scat1d_log1p	feature:rating_stimulus	0.15188375580429117	6	0.025313959300715196	6.193378779046447	0.00011659052896554145	0.0011659052896554145	0.00012954503218393494	0.48159851418806654	0.013423311788804812	1.3423311788804813
scat1d_log1p	source:rating_stimulus	0.07340377054382843	3	0.02446792351460948	5.986385474611727	0.0018062806310090776	0.018062806310090777	0.0018062806310090776	0.3098588304582301	0.006487340882940277	0.6487340882940277
scat1d_log1p	Residual (pooled)	0.16349046427683608	40	0.0040872616069209024						0.014449099344845291	1.444909934484529
vggish	modulation	7.539269064917074	2	3.769634532458537	31.17186475082211	6.917912204935833e-09	6.917912204935832e-08	4.573998054339484e-08	0.6091602270624956	0.22489548520673683	22.489548520673683
vggish	feature	2.7866269597294213	2	1.3933134798647107	11.521588890346305	0.00011179899545753834	0.0011179899545753834	0.00027949748864384584	0.36551421726951294	0.08312474548955699	8.312474548955699
vggish	source	1.590233670850666	1	1.590233670850666	13.149961483833993	0.000804137349481367	0.00804137349481367	0.0013402289158022784	0.24741243674905888	0.04743647824724299	4.743647824724299
vggish	rating_stimulus	4.756374556362727	3	1.5854581854542422	13.110472036351728	4.179174063316787e-06	4.179174063316787e-05	1.3930580211055957e-05	0.49578613414623957	0.14188207828472543	14.188207828472542
vggish	modulation:feature	3.34886739598974	4	0.837216848997435	6.923114206256161	0.0002473570050923469	0.002473570050923469	0.0004947140101846938	0.4090922109180599	0.0998963097654637	9.98963097654637
vggish	modulation:source	0.4828950576180139	2	0.24144752880900694	1.996578089374072	0.149106788815174	1.0	0.21300969830739144	0.09076766764638554	0.014404701218623094	1.4404701218623095
vggish	modulation:rating_stimulus	0.6542441613389113	6	0.10904069355648521	0.9016793863201865	0.5033271957902733	1.0	0.6291589947378415	0.11913823443159528	0.019516024277826654	1.9516024277826653
vggish	feature:source	7.367558804662688	2	3.683779402331344	30.46191144329454	9.147996108678968e-09	9.147996108678968e-08	4.573998054339484e-08	0.6036614660846813	0.21977338889177928	21.97733888917793
vggish	feature:rating_stimulus	0.12085094913281842	6	0.020141824855469736	0.16655679345656982	0.9842295291909402	1.0	0.9842295291909402	0.024374556814737325	0.003604969209733174	0.36049692097331737
vggish	source:rating_stimulus	0.039287011972300605	3	0.013095670657433535	0.10829072978822461	0.9547644911547705	1.0	0.9842295291909402	0.008056372450210913	0.0011719268199284788	0.11719268199284788
