wavetable_name,loud_range,loud_entropy,loud_spectral_entropy,loud_max,loud_min,loud_total_variation,loud_turning_points,cent_range,cent_entropy,cent_spectral_entropy,cent_max,cent_min,cent_total_variation,cent_turning_points,flat_range,flat_entropy,flat_spectral_entropy,flat_max,flat_min,flat_total_variation,flat_turning_points
vintage__jup_double_pulse__61_1024.pt,4.189237594604492,4.487896267744092,1.5673472,-7.885676383972168,-12.07491397857666,14.31623363494873,15,1.1730690002441406,3.241112678840346,0.46122926,13.228947639465332,12.055878639221191,3.2273616790771484,27,34.321075439453125,3.393555677709044,1.6897316,-35.80735778808594,-70.12843322753906,106.03825378417969,27
retro__resonant_2__65_1024.pt,4.164864540100098,4.554920277169229,1.3540047,-8.46690559387207,-12.631770133972168,30.698434829711914,13,0.5259122848510742,4.677998493665549,0.25639054,12.634471893310547,12.108559608459473,4.051719665527344,19,30.264846801757812,4.233680931975082,1.6203597,-69.33943176269531,-99.60427856445312,180.1285400390625,26
retro__sweep_saw_2__185_1024.pt,6.877098083496094,3.8906082509087674,2.1939394,-12.587274551391602,-19.464372634887695,13.31160831451416,43,1.385711669921875,4.689723930599092,1.0061533,11.788838386535645,10.40312671661377,21.167739868164062,106,68.16539001464844,4.170903419520085,2.884496,-89.95663452148438,-158.1220245361328,2564.16015625,124
filter__bit_sweep__16_1024.pt,4.105422496795654,3.624999216094218,1.1512543,-6.217714786529541,-10.323137283325195,5.991566181182861,6,0.4990682601928711,3.874996177525369,0.14042737,12.91580581665039,12.41673755645752,1.0326175689697266,7,22.284252166748047,3.7499997436979844,1.1056218,-41.845035552978516,-64.12928771972656,64.89649963378906,8
vintage__jun_square_stack__230_1024.pt,4.191266059875488,4.684264454712549,1.6067154,-9.385248184204102,-13.57651424407959,17.725797653198242,25,0.4075641632080078,4.624626838820265,0.37554073,11.606721878051758,11.19915771484375,7.722273826599121,136,9.881034851074219,4.736458552661468,1.0033158,-74.0785903930664,-83.95962524414062,153.42401123046875,129
instrument__jazz_buzz__40_1024.pt,10.065906524658203,4.853056217749382,1.9407768,-10.825138092041016,-20.89104461669922,10.065906524658203,0,0.8499670028686523,4.325073404889561,0.3094644,11.618209838867188,10.768242835998535,2.6513290405273438,13,23.097625732421875,3.925071099608333,0.99360037,-80.02085876464844,-103.11848449707031,37.25849914550781,17
noise__modulated_kodiak__64_1024.pt,3.4247541427612305,4.442988208665081,2.262958,-4.090227127075195,-7.514981269836426,44.01975631713867,39,2.4163551330566406,3.94531341806414,1.0361397,12.453776359558105,10.037421226501465,22.84367561340332,42,42.53473663330078,4.661738431697387,2.343165,-56.16795349121094,-98.70269012451172,532.9698486328125,40
noise__vinyl_dirt_soft__125_1024.pt,16.507720947265625,4.633529126083619,3.0877943,-22.00605010986328,-38.513771057128906,455.5508117675781,76,1.1322832107543945,4.493539885737539,0.91126734,13.114623069763184,11.982339859008789,29.421632766723633,77,38.342613220214844,4.547770187231745,4.0341167,-13.627092361450195,-51.969703674316406,1079.0557861328125,83
basics__sub_1__129_1024.pt,1.1409568786621094,4.805525274201688,0.36646476,-8.945722579956055,-10.086679458618164,2.258114814758301,2,5.243147850036621,4.835153029815714,2.5075445,11.211499214172363,5.968351364135742,5.416516304016113,8,45.396270751953125,3.532415700282801,1.6906096,-114.48710632324219,-159.8833770751953,46.858917236328125,36
noise__radio_2__251_1024.pt,7.597801208496094,4.415919924335429,4.103156,-7.461448669433594,-15.059249877929688,317.4766845703125,156,1.1487951278686523,4.557638917745626,0.942093,12.141157150268555,10.992362022399902,26.12407112121582,146,35.55397033691406,4.699588854063462,2.8986454,-73.21290588378906,-108.76687622070312,1000.6761474609375,146
harmonics__sines_5__10_1024.pt,1.8447551727294922,2.921928094946234,0.5865027,-8.224254608154297,-10.069009780883789,7.483152389526367,5,3.2411813735961914,2.846439344772761,0.95620126,9.187251091003418,5.946069717407227,6.5553483963012695,3,0.3894805908203125,2.9218275179994038,0.0147389155,-159.47201538085938,-159.8614959716797,0.928131103515625,4
basics__beating_3__110_1024.pt,2.8520450592041016,3.749892644649991,1.185514,-10.632795333862305,-13.484840393066406,8.50175952911377,61,0.5757780075073242,2.3803249787780363,0.28882027,12.678271293640137,12.102493286132812,2.871318817138672,72,11.032081604003906,4.252604409105148,0.8441154,-69.5145034790039,-80.54658508300781,99.32332611083984,70
collection__rust__256_1024.pt,6.726543426513672,4.704225190266051,2.3408353,-7.004180908203125,-13.730724334716797,26.98055076599121,7,5.052726745605469,4.222973191217033,1.5989212,13.272454261779785,8.219727516174316,12.123344421386719,4,120.71101379394531,4.407719827580836,3.740884,-24.126628875732422,-144.837646484375,275.1723937988281,2
basics__fm_harmonics__256_1024.pt,8.056452751159668,4.30637048847165,3.4133863,-6.867547035217285,-14.923999786376953,8.588873863220215,31,7.2508344650268555,4.778023016694334,3.1941829,12.80433177947998,5.553497314453125,19.1908016204834,149,115.29316711425781,4.698724782894752,3.790682,-43.63523864746094,-158.92840576171875,760.7154541015625,181
harmonics__synced_sines__256_1024.pt,1.9775824546813965,4.612500819820784,1.7063298,-7.547684192657471,-9.525266647338867,2.322538375854492,50,3.327183723449707,4.5974896385754676,2.4498935,9.424253463745117,6.09706974029541,18.245830535888672,118,1.1069488525390625,4.319783392957998,0.08732867,-158.58518981933594,-159.692138671875,20.402481079101562,166
complex__bitkart__149_1024.pt,4.918123245239258,4.284693660913524,2.5814111,-4.934290885925293,-9.85241413116455,68.18292999267578,93,3.519084930419922,4.511742332692607,1.491446,12.90445327758789,9.385368347167969,39.701629638671875,75,85.38951110839844,4.617268850326263,2.6341422,-46.47773742675781,-131.86724853515625,1154.597900390625,86
collection__olive__256_1024.pt,9.260736465454102,4.519190968118464,2.1402714,-6.573645114898682,-15.834381103515625,95.45156860351562,25,1.8339033126831055,4.403387448816105,0.7583742,11.863572120666504,10.029668807983398,6.752418518066406,20,39.39812469482422,4.273576016116854,1.5412651,-83.86962127685547,-123.26774597167969,152.93032836914062,29
